"ID","Descripcion","Esperado","Obtenido","Resultado","Observaciones"
"CP-01","Crear presupuesto sin token","401 Unauthorized","401","PASO",""
"CP-02","Listar presupuestos sin token","401 Unauthorized","401","PASO",""
"CP-03","Crear con token alterado (firma invalida)","401 Unauthorized","401","PASO",""
"CP-04","Consultar presupuesto de otro hogar (id=1)","404 NotFound","404","PASO",""
"CP-05","Inyectar idHogar ajeno en el body","201 y idHogar=1 (del token)","201","PASO","idHogar response=1"
"CP-06","Operar como rol Miembro (crear/editar/eliminar)","comportamiento real 201/204/204","201/204/204","PASO","CONFIRMAR-CON-EQUIPO: si solos Admins, seria FALLO (bug de permisos)"
"CP-07","Crear presupuesto valido","201 Created","201","PASO","id=4"
"CP-08","Crear con categoria inexistente","400 BadRequest","400","PASO","{""message"":""La categoría no existe o no pertenece a tu hogar.""}"
"CP-09","Crear con categoria de otro hogar","400 BadRequest","400","PASO","{""message"":""La categoría no existe o no pertenece a tu hogar.""}"
"CP-10","Crear con MontoLimite=0","comportamiento real: 201","201","PASO","CONFIRMAR-CON-EQUIPO si el limite debe ser > 0"
"CP-11","Crear con MontoLimite negativo","comportamiento real: 201","201","PASO","CONFIRMAR-CON-EQUIPO"
"CP-12","Crear sin MesAnio","comportamiento real: 201 con 0001-01-01","201","PASO","mesAnio=0001-01-01T00:00:00.0000000Z (CONFIRMAR-CON-EQUIPO si es obligatorio)"
"CP-13","Crear duplicado (misma categoria y mes)","comportamiento real: 201","201","PASO","CONFIRMAR-CON-EQUIPO si debe ser unico por categoria+mes"
"CP-14","Listar todos los presupuestos del hogar","200 solo hogar, MesAnio desc","200","PASO","count=6"
"CP-15","Filtrar por anio+mes","200 solo 2026-09","200","PASO","count=5"
"CP-16","Filtrar solo por anio","comportamiento real: 200 con todos","200","PASO","count=6 (filtro ignorado; CONFIRMAR-CON-EQUIPO)"
"CP-17","Filtrar solo por mes","comportamiento real: 200 con todos","200","PASO","count=6 (filtro ignorado; CONFIRMAR-CON-EQUIPO)"
"CP-18","Filtrar sin coincidencias","200 lista vacia","200","PASO","count=0"
"CP-19","Por id propio y ajeno","200 propio / 404 ajeno","200/404","PASO","propio=200 ajeno=404"
"CP-20","Editar MontoLimite y MesAnio (Admin)","204 y cambios verificados","204","PASO",""
"CP-21","Cambiar a otra categoria del mismo hogar","204 y categoria actualizada","204","PASO","idCategoria=3"
"CP-22","Cambiar a categoria de otro hogar","400 BadRequest","400","PASO","{""message"":""La categoría no existe o no pertenece a tu hogar.""}"
"CP-23","Editar presupuesto de otro hogar","404 NotFound","404","PASO",""
"CP-24","Editar con MontoLimite 0 / negativo","comportamiento real: 204/204","204/204","PASO","CONFIRMAR-CON-EQUIPO si el limite debe ser > 0"
"CP-25","Eliminar presupuesto propio","204 y 404 al reconsultar","204/404","PASO",""
"CP-26","Eliminar presupuesto de otro hogar","404 NotFound","404","PASO",""
"CP-27","Eliminar presupuesto inexistente","404 NotFound","404","PASO",""
